headline,description,content,date_time,url
"Gujarat local body polls: BJP gets 48 seats in Junagadh, Congress bags 11",Junagadh was only scheduled for regular polls among the eight poll-bound municipal corporations,"The BJP emerged victorious in the Junagadh Municipal Corporation (JuMC) elections winning 40 out of the 60 seats, even as the Congress improved its tally, winning 11 seats, and the remaining one going to an Independent candidate.
Eight of these seats were won uncontested by the BJP, and thus elections were held on only 52.
Junagadh was only scheduled for regular polls among the eight poll-bound municipal corporations. The Congress had won only one seat in the 2019 elections, while the BJP had swept the polls winning 54 out of the 60 seats, with the Nationalist Congress Party (NCP) bagging four seats.
The last election marked a significant shift in favour of the BJP as compared to the 2014 elections when the BJP had won 41 seats, Congress 16, Bahujan Samaj Party (BSP) two, while one seat had gone to an Independent candidate.
STORIES YOU MAY LIKE
After Delhi election, lesson for all parties: Listen to the ground
Delhi gets its fourth woman CM: All about Rekha Gupta
I want to enjoy remaining years of my cricket career like a child: MS Dhoni
The BJP had captured power in the maiden JuMC election held in 2004. However, the subsequent 2009 election was won by the Congress, even as the BJP returned in 2014. One of the winners on a Congress ticket in JuMC, Adremiyan Allarakhabhai Panja, had won on an NCP ticket in 2019.
At least three Muslim candidates had won on an NCP ticket in the last election. Two of the eight BJP candidates who have won uncontested, belong to the Muslim community.",2025-02-19 04:23:53+05:30,https://indianexpress.com/article/cities/ahmedabad/gujarat-local-body-polls-bjp-gets-48-seats-in-junagadh-congress-bags-11-9843591/
"Local body polls: 11 municipalities gone, how Central Gujarat losses leave Congress in a tight spot","If the BJP forms a board in Chhota Udepur, it will be the first such instance since 1996. In the 2018 polls, Congress had secured eight seats here while the BJP had four","The Congress faced a major upset in Central Gujarat, losing ground in as many as 11 municipalities in the region. The major setback for the Congress came in Anklav municipality, which is in the constituency of former GPCC President Amit Chavda, with the party ending with a zero. The party faced a wipeout in Odh, Anand, as well.
Chhota Udepur
In Chhota Udepur, the exit of its stalwart leaders in 2022 seems to have cost the Congress dear as its tally reduced to one from eight in the previous elections in 2018.
In Chhota Udepur municipality, which has 28 seats, the BJP has secured eight while the Congress clinched one. The Samajwadi Party (SP) emerged as a surprise, bagging six seats while the BSP got four. Four seats have gone to the Sarva Samaj Party and one to Bharat Navnirman Manch Party while four independents will also be seen as kingmakers in the upcoming days.
Interestingly, one SP candidate, Mufizahmed Shaikh, bagged his seat in Ward 5 of the Municipality by just one vote, securing a total of 869 votes.
STORIES YOU MAY LIKE
Delhi gets its fourth woman CM: All about Rekha Gupta
After Delhi election, lesson for all parties: Listen to the ground
What former Delhi CMs Arvind Kejriwal, Atishi said as Rekha Gupta to take Delhi’s reins
If the BJP forms a board in Chhota Udepur, it will be the first such instance since 1996. In the 2018 polls, Congress had secured eight seats here while the BJP had four. The exit of its veteran leaders, who had defected to the BJP ahead of the 2022 Gujarat Assembly polls, seems to have proved costly for the Congress here. This is the first local body polls since the departure of a few veteran leaders, including Naran Rathwa and his son Sangramsinh Rathwa as well as 10-term former MLA Mohansinh Rathava along with his sons, including sitting BJP MLA Rajendrasinh Rathava, who were known for their influence in Chhota Udepur, from the Congress.
Kheda
Kheda district witnessed a close contest between the Bharatiya Janata Party (BJP) and Independents in the fray in five municipalities. For the Congress, which once boasted of Kheda and Anand districts as its bastions, the results on Tuesday meant that the party was reduced to a naught in three — Mehmadabad, Dakor and Mahuda – and managed to win one seat each in Kheda and Chaklasi municipalities. The BJP has registered a clear majority in Mehmadabad, winning 18 of 28 seats while 10 were bagged by independents. In Kheda municipality, the BJP bagged 14 of 28 seats while the SP won three and BSP bagged five seats. Rest of the seats were won by independents.
Dakor municipality has thrown up undecided results with the BJP and independents bagging 14 seats each of the total of 28. The mandate now means that the BJP is eying independents, who could extend support or switch over to the party. A BJP leader from Kheda district said, “The BJP has got the majority of 14 seats and it will comfortably form a board. We already have the support of the independents here. When the first general board meeting is held, we will elect a President from the BJP.”
Anand
STORY CONTINUES BELOW THIS AD
The Congress found itself losing ground in Anand as the BJP swept the Odh Municipality with all 24 seats while it bagged 10 seats in Anklav — the constituency of Chavda. In both municipalities, the Congress did not manage to win a single seat. In Boriavi Municipality, the BJP bagged 15 out of 24 seats while the Congress won six and independents won three.
Mahisagar
In Mahisagar district’s Lunawada municipality, the BJP recorded a majority win after nine years. This means the party won’t have to rely on alliance with independents this time. The BJP won 16 of 28 seats while the Congress bagged 11. One seat was won by an independent candidate.
In Balasinor municipality, the BJP recorded a win in 16 seats while Congress won nine, NCP two and the BSP bagged one seat for the first time.
In Santrampur municipality, the BJP won 15 of 24 seats while Congress won seven and independents clinched two seats. The BJP also bagged the Kanod seat of Khanpur taluka panchayat as well as the Jodhpur seat of Virpur taluka panchayat.
Panchmahal
STORY CONTINUES BELOW THIS AD
The BJP emerged as a clear winner with 34 of 36 seats in Halol Municipality, where it had already won 19 seats uncontested. While the two other seats went to independents, who also won uncontested earlier, the Congress faced a wipeout.
In Kalol municipality, the BJP won 18 of 28 seats while 10 seats went to the independents.
Dahod
In Devgadh Baria Municipality in Dahod district, the BJP won 13 of the 24 seats in six wards, while eight independents emerged winners along with three Congress candidates.
The Congress faced a rout in Jhalod where the BJP managed to win 17 of 28 seats and 11 went to independents.
Vadodara
STORY CONTINUES BELOW THIS AD
In Vadodara district’s Karjan municipality, where the BJP was fighting for “pride and prestige” after 16 of its sitting corporators defected to contest as AAP candidates, the state’s ruling party managed to record a clear majority with 19 of 28 seats. AAP won eight seats in its first contest even as the Congress faced a wipe out. Despite a fiery campaign in Ward 7 of the municipality, where the BJP was up against rebel-leader and one-time influential Mohammad Sindhi, the party faced defeat as all four rebels — Vinanta Vasava, Priyanka Machhi, and Bharat Ataliya along with Sindhi – won the four seats of the ward to form a panel.
Narmada
The BJP and the AAP won one of the two seats, each, of Narmada taluka panchayat. AAP candidate Rahul Vasava won the Zank seat from Dediapada taluka, making it the first win for the AAP in the local body polls in the tribal area since the 2022 election of Chaitar Vasava as MLA. On the other hand, BJP’s Saroj Ashwin Vasava bagged the Bhadod seat of Sagbara Taluka.",2025-02-19 04:17:06+05:30,https://indianexpress.com/article/cities/ahmedabad/local-body-polls-11-municipalities-gone-how-central-gujarat-losses-leave-congress-in-a-tight-spot-9843588/
"Porbandar, Devbhumi Dwarka, Chhota Udepur: Districts that gave BJP a jolt in Gujarat","Of the three municipalities that went to polls from Devbhumi Dwarka – Dwarka, Bhanvad and Salaya -- the BJP was completely wiped out in Salaya where the Congress got a majority with 15 of the 28 seats","While the BJP swept the local self-government elections on Tuesday, it suffered some major upsets especially in the districts of Porbandar, Devbhumi Dwarka and the tribal district of Chhota Udepur.
In Porbandar, Dheliben Odedara, 58, who has been president of the Kutiyana municipality since 1995, will sit in the Opposition now for the first time. The BJP could win only 10 of the 24 seats in this municipality of Porbandar district with 14 going to the Samajwadi Party (SP). “I don’t know how all this (the results going against the BJP) happened,” Odedara told The Indian Express.
The SP got a major foothold, winning 20 of the 28 seats in Ranavav municipality and 14 of the 24 seats in the Kutiyana municipality where the youngest son of the late ‘Godmother’ Santokben Jadeja, Kana, made his debut.
Odedara claims she joined politics in 1995, and is related from her “husband’s side” to the Jadejas. Kana’s older brother Kandhal is the SP MLA from the Kutiyana seat, having won it on the party ticket for the first time in 2022. Before this, Kandhal was an MLA from the same seat from the undivided Nationalist Congress Party (NCP). The victory for the SP is important as it upsets the BJP in Kutiyana. Although Odedara retains her seat, the party has lost its majority.
STORIES YOU MAY LIKE
What former Delhi CMs Arvind Kejriwal, Atishi said as Rekha Gupta to take Delhi’s reins
After Delhi election, lesson for all parties: Listen to the ground
Nita Ambani chooses Ranbir Kapoor over Ranveer Singh and Bill Gates, says, ‘He’s my son Akash’s best friend’. Watch
In 2018, the BJP had won 12 seats in Ranavav and the undivided NCP had won 16 seats.
In Chhota Udepur Municipality, which has 28 seats, the BJP secured eight while the Congress won one. The SP, which contested the polls for the first time, emerged as a surprise, bagging six seats while the BSP, which has significant influence in the area, bagged four. Four seats have gone to the Sarva Samaj Party and one to Bharat Navnirman Manch Party while four independents will also be seen as kingmakers in the upcoming days. SP candidate Mufizahmed Shaikh bagged his seat in Ward 5 of the municipality by just one vote, securing a total of 869 votes. The municipality had seen 72.65% voter turnout.
Mixed results in Devbhumi Dwarka
Of the three municipalities that went to polls from Devbhumi Dwarka – Dwarka, Bhanvad and Salaya — the BJP was completely wiped out in Salaya where the Congress got a majority with 15 of the 28 seats. The Aam Aadmi Party, which got 13 seats, could be a formidable opposition here.",2025-02-19 03:51:49+05:30,https://indianexpress.com/article/cities/ahmedabad/porbandar-devbhumi-dwarka-chhota-udepur-districts-that-gave-bjp-a-jolt-in-gujarat-9843552/
"Maharashtra: Under Sapkal, Cong will regain former glory, says Chennithala",Sapkal took charge as Maharashtra Congress president in Mumbai on Tuesday,"Under the leadership of newly appointed state Congress president Harshavardhan Sapkal, the party will once again become a formidable force in the state, said Maharashtra Congress in-charge Ramesh Chennithala on Tuesday.
Sapkal took charge as Maharashtra Congress president in Mumbai on Tuesday. The event was attended by Chennithala, Legislative Party Leader Vijay Wadettiwar, former chief ministers Prithviraj Chavan and Sushilkumar Shinde, senior leader and Congress Working Committee member Balasaheb Thorat, Goa in-charge Manikrao Thakre and others.
Sapkal slammed the BJP for breaking the Shiv Sena and NCP and luring Congress leaders into its fold. Stressing the importance of strengthening the party, he said, “We have leadership, but we need to build a strong organisation. Our workers must be more skilled and determined. The battlefield has changed; we must take our fight to the streets. This is not the time to cry but to fight. We will rebuild Congress across Maharashtra, spread its ideology to every home, and ensure that the next chief minister is from Congress.”
Wadettiwar said, “The number of seats does not matter as much as the will to fight. Congress can never be wiped out. By following the principles of Chhatrapati Shivaji Maharaj, Shahu Maharaj, Phule and Dr Ambedkar, we will restore Congress to its former glory.”
Outgoing state president Nana Patole said Congress was confident of winning 80-85 Assembly seats but was denied victory due to BJP’s vote manipulation. “Congress did not question the EVMs, but the Election Commission failed to explain the unexpected surge in votes,” he said.",2025-02-19 01:11:51+05:30,https://indianexpress.com/article/cities/mumbai/maharashtra-under-sapkal-cong-will-regain-former-glory-says-chennithala-9843451/
"Pune city police seize red sand boa, 2 arrested",A team from Wanawadi Police station of Pune City had been working on a specific input that some people would come to Jagtap Chowk area for the sale of a protected snake species,"PUNE CITY police seized a red sand boa after two suspects — one from Karnataka and another from Latur district of Maharashtra — who were arrested had come to to Pune to sell the snake protected under Schedule 3 of the Wildlife Protection Act.
Police said the two were trying to sell the snake exploiting various superstitious beliefs around it.
A team from Wanawadi Police station of Pune City had been working on a specific input that some people would come to Jagtap Chowk area for the sale of a protected snake species. A trap was laid on the intervening night of February 14 and 15. Two persons were intercepted in Jagtap Chowk area based on inputs obtained.
On searching the bag that one of the two was carrying, police found a red sand boa snake. The duo were placed under arrest and identified as Mohammed Kamran Abdul Karim (30), a resident of Gulbarga in Karnataka and Mithun Shettiba Manjule (30), a resident of Nilanga in Latur district of Maharashtra. The details of the action were shared on Tuesday after the probe was completed.
On questioning the duo, it was revealed that Karim had found the snake in his farm in Gulbarga. “He has heard about how this species of snake can be sold at high prices. He subsequently sent out a message to some people on WhatsApp asking if anyone was interested in buying or mediating a sale. Manjule then got in touch with him and the duo decided to come to Pune for the sale of the Red Sand Boa. We are investigating whether they had found any buyer and if any organised racket was operating behind this case,” said an officer who was part of the probe.
Officials said the Forest Department was contacted and the seized snake was handed over to them for further action. Senior Inspector Satyajet Admane, in-charge of Wanawadi police station, said, “There are several superstitious beliefs around sand boa snakes that they bring wealth, good fortune or it can be used to find hidden wealth, etc. It is also used in superstitious black magic practices. It has been observed that because of these false beliefs, this snake is often smuggled, trafficked and sold at very high prices. Further investigation in the case is on.”
The Red Sand Boa snake (Eryx johnii) is a species of non-venomous snake and is known as Mandul is Maharashtra and neighbouring areas.",2025-02-18 23:26:04+05:30,https://indianexpress.com/article/cities/pune/pune-city-police-seize-red-sand-boa-2-arrested-9843348/
"95% tunnel work completed, Pink Line of Namma Metro likely to open in 2026: BMRCL","In a first for Bengaluru Metro, the Pink Line will feature platform screen doors at underground stations. The stretch is designed for trains to operate at a maximum speed of 80 kmph","Bengaluru Metro Rail Corporation Limited (BMRCL) on Monday said that 95 per cent of the tunnelling work of the Pink Line of Namma Metro has been completed with the aim to make the stretch ready by 2026.
The 21-km stretch will run from Kalena Agrahara in South Bengaluru to Nagawara in the North, which includes a 13.8-km underground section from Dairy Circle to Nagawara. The Pink Line is expected to be made operational in 2026, subject to the availability of sufficient Metro coaches, officials said.
Subrahmanya Gudge, BMRCL’s Chief Engineer (Underground), said that the Pink Line will feature only two entries to the Metro station, except MG Road Metro station which will have four entries to prevent road crossing.
The experience gained from Phase 1 has significantly streamlined tunneling in Phase 2, he said. Unlike the earlier phase, which involved international experts from Germany, Japan, and Thailand, the current phase relied entirely on BMRCL’s in-house team and Indian expertise, he added.
The upcoming phase of work will focus on key systems such as traction, signalling, telecommunication, electrical infrastructure, tunnel ventilation, air-conditioning, and signage. BMRCL began tunnel construction for the Pink Line on August 22, 2020, at Cantonment underground station, using a tunnel boring machine (TBM). Over time, eight additional TBMs were introduced, culminating in the final breakthrough near Nagawara on October 30, 2024.
In a first for Bengaluru Metro, the Pink Line will also feature platform screen doors at underground stations. The stretch is designed for trains to operate at a maximum speed of 80 kmph, with stations spanning 200 metres.
In Phase 1, BMRCL constructed 10 kilometres of tunnels with seven underground stations, including the Majestic interchange. That phase involved six TBMs and took over five years to complete.",2025-02-18 19:59:14+05:30,https://indianexpress.com/article/cities/bangalore/tunnel-work-pink-line-namma-metro-bmrcl-9843125/
"Rs 1,100-cr Mithi river ‘desilting scam’: 3 contractors questioned","In August 2024, the State Legislative Council announced an SIT after BJP MLCs Prasad Lad and Pravin Darekar raised questions about the alleged scam.","A Special Investigation Team (SIT) of the Mumbai Police Economic Offences Wing (EOW) has expedited the Preliminary Inquiry (PE) in connection with the Rs 1,100 crore alleged Mithi river desilting scam and has questioned three contractors.
A senior EOW officer Monday confirmed that the EOW SIT summoned and inquired three contractors — Rishabh Jain, Manish Kasaliwala and Shersingh Rathod — over the past one week about the allegations of scam in the Mithi river desilting works.
In August 2024, the State Legislative Council announced an SIT after BJP MLCs Prasad Lad and Pravin Darekar raised questions about the alleged scam. Later, an SIT headed by joint commissioner of police, EOW, DCP EOW and an ACP along with some junior officers was formed to look into the alleged manipulations in the Mithi River desilting works.
The SIT is scrutinising the spending of around Rs 1,100 crore on the Mithi river desilting between 2005 and 2021.
The desilting of 11.84-kilometre stretch of the Mithi river is under the BMC while the remaining 6.8-kilometre stretch of the river is under the Mumbai Metropolitan Region Development Authority (MMRDA).
“We had sought contract documents and details of the desilting work from the BMC and MMRDA. We have received certain documents from the two agencies a few days ago. Based on them, we initiated an inquiry in the case and questioned three contractors,” said an EOW officer, adding, in total 18 contractors would be probed.
The officer said, “We are inquiring if proper norms were followed while awarding contracts for desilting works. The contract awarding procedures of BMC and MMRDA are different. We will inquire if the desilting works were actually done or whether it was only on paper. If it was done, where the desilted garbage was dumped, which vehicles were used for transporting the mud, etc., will be probed. If any irregularities surface in the inquiry, an FIR will be
registered.”
According to the officer, some “startling revelations” were made during the inquiry and soon more people who are suspected to have been involved in the alleged irregularities will be brought under investigation.",2025-02-18 16:12:57+05:30,https://indianexpress.com/article/cities/mumbai/rs-1100-cr-mithi-river-desilting-scam-3-contractors-questioned-9842604/
"Man killed, 2 injured grievously as ‘molestation bid’ leads to violence at wedding in UP’s Saharanpur","The Kotwali (Rural) police said the deceased, Mohammed Muqarram alias Moni, was hit on the head with a heavy stone.","A 26-year-old man died and his two cousins sustained serious injuries when a row over an alleged molestation bid during a wedding led to stone pelting in Uttar Pradesh’s Saharanpur on Monday afternoon.
The police identified the deceased as Mohammed Muqarram alias Moni while his cousins Nadeem, 24, and Sarfaraz, 27, suffered grievous injuries.
The police said all family members of the deceased were attending the wedding organised in a hall on Behat Road when the violence broke out.
“The family members of the deceased are yet to lodge a complaint. The deceased was hit on his head with a heavy stone. We have also been told that bullets were fired during the clash. We will begin the probe once we get a complaint from the family,” Chandrasen Saini, Station House Officer (SHO), Kotwali (Rural) police station, told The Indian Express over the phone.
STORIES YOU MAY LIKE
Man convicted of raping 7-month-old toddler in Kolkata gets death sentence
Death penalty nixed in POCSO case, rapist assaults, kills 11-year-old disabled girl
Gold medallist female power-lifter dies after 270-kg barbell falls on neck during practice in Bikaner
Vyom Bindal, Superintendent of Police, Saharanpur, said, “Moni and his cousins tried to restrain those from the other group which led to a verbal altercation that later took a violent turn. The injured have been admitted to a government hospital.”",2025-02-18 12:07:52+05:30,https://indianexpress.com/article/cities/lucknow/man-killed-injured-molestation-bid-violence-wedding-uttar-pradesh-saharanpur-9842143/
"‘Social media can wait, dreams can’t’: Riya Bansode’s journey from Pune slum to MPSC success","Riya Bansode, 24, has secured a position as Revenue Assistant in the recently declared Maharashtra Public Service Commission’s (MPSC) Group C Examination result. She has also cleared the prelims of Group A examination that selects candidates for various gazetted officers posts such as deputy collector and DySP.","In a testament to unwavering determination, 24-year-old Riya Bansode from Nigdi’s Ota Scheme, a residential locality in Pune, has overcome social barriers by securing a position as Revenue Assistant in the recently declared Maharashtra Public Service Commission’s (MPSC) Group C Examination result.
“People would often distance themselves when I mentioned I live in a slum. Despite being equally competent with other students from the class since my school days I was not given similar opportunities in many cases. This was my drive to get into civil services and attempt to improve the social inequality landscape,” stated Bansode, daughter of Bharat Bansode, a masonry worker and Usha, a homemaker.
Bansode had recently cleared the prelims of Group A examination that selects candidates for various gazetted officers posts such as deputy collector and DySP and is preparing for the Mains.
Also Read | Against All Odds: At 79, this woman is looking to become oldest to earn an MBA
After the declaration of the result on February 12, she said the same people view her differently. “More importantly, the result has given hope to other children from underprivileged backgrounds that their dreams are valid, no matter where they come from,” she said, adding that she worked under the ‘earn and learn’ scheme to gather funds to apply for competitive examinations and purchase books since her graduation years.
STORIES YOU MAY LIKE
Nita Ambani chooses Ranbir Kapoor over Ranveer Singh and Bill Gates, says, ‘He’s my son Akash’s best friend’. Watch
What former Delhi CMs Arvind Kejriwal, Atishi said as Rekha Gupta to take Delhi’s reins
I want to enjoy remaining years of my cricket career like a child: MS Dhoni
“While my peers asked me to join them on social media and frequent outings, I couldn’t afford to spend time on it, and decided to deactivate all such accounts to give my undivided attention to the rigorous exam preparation. A typical routine would include 7 to 8 hours of study, as I always emphasised quality over quantity of study hours and this has helped me in the recent success,” said Bansode remarked.
Despite facing repeated setbacks in the last four years, including several near-misses at the interview stage in the MPSC State Services Exam and Group B Exam, Bansode’s resolve never wavered. “Each failure only strengthened my determination. This result is a breakthrough moment, but not my final destination. I am now more motivated to achieve my dream of becoming an Indian Administrative Services (IAS) officer,” she added.
Also Read | Against All Odds: How this celebrated designer and National Film Award winner for ‘Utsav’ defeated cancer with courage and calmness
Banode mentioned that the financial support from Dr Babasaheb Ambedkar Research and Training Institute (BARTI) with free coaching, mentorship, and stipend was crucial in reducing the financial burden on her family. “It allowed me to focus entirely on my preparations. The success belongs to my family who never pressured me into marriage despite several setbacks, my friends who stood by me, and well-wishers who never lost faith in my abilities,” said Riya.
STORY CONTINUES BELOW THIS AD
“Being the first government officer from our family, I aim to work to overcome stereotypes often associated with backward classes and slum dwellers and work on facilitating quality education especially through public schools to reduce societal inequalities and create pathways for other underprivileged candidates to dream big,” added Riya.
“My experience so far would suggest that one’s socio-economic background does not define their future. With discipline, dedication, and the right support system, every dream is attainable,” explained Riya.",2025-02-18 11:51:48+05:30,https://indianexpress.com/article/cities/pune/riya-bansodes-pune-slum-mpsc-success-9842075/
"33 deportees land in Ahmedabad, Gujarat Police Chief says will begin probe after they ‘recover from trauma’",They were part of the cohort of 112 Indians deported in the third US military aircraft that landed in Punjab’s Amritsar since President Donald Trump took charge for his second term.,"Even as the flow of Gujarati immigrants from the US to Ahmedabad via Amritsar continues with the third such C-17 Globemaster military aircraft offloading 33 more from the state, the Gujarat Police are yet to launch a probe into the traffickers who allegedly enabled the illegal crossing of the international border in lieu of large sums of money. Their Haryana and Punjab counterparts have, however, not only launched an official probe in connection with the matter but have also made multiple arrests in a crackdown against the human trafficking nexus.
According to the Gujarat police chief Vikas Sahay, the deportees are being “given time” as they “have come after a traumatic experience”.
Two flights carrying 33 Gujarat residents, deported Sunday from the US in the third such special military cargo flight since February 5, landed at Sardar Vallabhbhai Patel Airport in Ahmedabad on Monday, said the officials.
They were part of the cohort of 112 Indians deported in the third US military aircraft that landed in Punjab’s Amritsar since President Donald Trump took charge for his second term. The arrival of 33 deportees took the total number of Gujarati residents sent back from the US to 74. In the first flight 33, in second eight and in the third flight 33 state residents have been deported so far.
The arrival of 33 deportees took the total number of Gujarati residents sent back from the US to 74. (Express Photo by Brendan Dabhi)
Deportees are Traumatised: DGP
While there appears to be no cause for the deportees to be prosecuted under Indian law as has also been stated by the Gujarat Home Department earlier, the Indian Express has learnt that the police are yet to start an investigation into the traffickers and agents involved in the illegal immigration.
Senior police officials from multiple districts in Gujarat, who were part of the process of sending the deportees back to their respective places in the state, confirmed that they had “not started any investigation at the local level” against the agents and traffickers involved in the process.
STORY CONTINUES BELOW THIS AD
Notably, on February 6, a day after the first planeload of deportees landed at Amritsar airport from the US, the Union Minister of External Affairs (MEA) Dr S Jaishankar had told the Parliament that the government would crack down on illegal immigration, the agencies involved and their agents who facilitated this ecosystem.
On being asked about the reason for the lack of investigation at the local level, officials from two districts, on the condition of anonymity confirmed that they had “received no orders to open such an investigation”.
In the first flight 33, in second eight and in the third flight 33 state residents have been deported so far. (Express Photo by Brendan Dabhi)
The Indian Express also reached out to the Crime Branch in Ahmedabad, the CID Crime in Gandhinagar and the State Monitoring Cell, all specialised divisions responsible for handling illegal immigration investigations. None of them are also investigating this matter.
The Indian Express then reached out to Gujarat Police chief, DGP Vikas Sahay, who confirmed that no probe had been ordered yet. “We will conduct an investigation but they have come after a traumatic experience, so we are giving them some time,” Sahay said.
STORY CONTINUES BELOW THIS AD
On February 5, Michael W Banks, the Chief of the United States Border Patrol (USBP) had shared a video on social media platform X, showing Indian deportees boarding the first C-17 flight to India in handcuffs and shackles. In his post, Banks wrote, “USBP and partners successfully returned illegal aliens to India, marking the farthest deportation flight yet using military transport. This mission underscores our commitment to enforcing immigration laws and ensuring swift removals… If you cross illegally, you will be removed.” This ill treatment of deportees had caused an uproar in the Indian Parliament as well.
According to the Gujarat police chief Vikas Sahay, the deportees are being “given time” as they “have come after a traumatic experience”. (Express Photo by Brendan Dabhi)
What happened on Monday?
Following the same protocol as when the deportees from the first and second cohort reached Ahmedabad from Amritsar, local police from various districts were on standby with their respective vehicles while Ahmedabad City Police provided law and order coverage at the airport.
Police officials were stationed inside the arrival terminal at Ahmedabad airport and escorted the deportees straight into the waiting vehicles, which then drove off towards the respective districts and dropped the deportees back to their homes.
STORY CONTINUES BELOW THIS AD
The maximum number of deportees who reached Ahmedabad on Monday belonged to Mehsana, Gandhinagar and Ahmedabad districts, said the police officials. Deportees in earlier flights from the US were from Patan, Vadodara, Bharuch, Banaskantha and Surat districts.
Police officials were stationed inside the arrival terminal at Ahmedabad airport and escorted the deportees straight into the waiting vehicles. (Express Photo by Brendan Dabhi)
Assistant Commissioner of Police VN Yadav from ‘G’ Division of Ahmedabad City Police, under whose jurisdiction the airport is located, told The Indian Express: “The 33 deportees reached Ahmedabad airport in two flights. While one group of four people arrived on a flight at 11 am, the other 29 arrived at 1:45 pm. They were ferried directly to their homes by respective police staff.”
Two earlier flights
On Sunday, a plane carrying eight deportees from Gujarat, who were among 116 Indians sent back from the US for illegal immigration, landed at Ahmedabad airport from Amritsar. Before that, on February 6, a plane carrying 33 immigrants from Gujarat, who were among 104 Indian deportees, had landed at Ahmedabad airport.",2025-02-18 11:06:52+05:30,https://indianexpress.com/article/cities/ahmedabad/deportees-ahmedabad-gujarat-police-chief-probe-recover-trauma-9841988/
